label,surface,type,context,confidence,uri
iuser,Iuser,PERSON,Iuser femitlich geñs uõe,unverified,
uan,Uan,PERSON,Uan de scosse io eg̃,unverified,
rast,Rast,PLACE,hemm Rast und Cuuratẽ,unverified,
cuurate,Cuurate,ORG,Rast und Cuuratẽ nefen,,
iun,Iun,PERSON,der selbe Rast Iun digł,unverified,
naff,Naff,PERSON,der ernt Naff int tũ,unverified,
ie,Ie,PERSON,d̾ Ie ibn aligũt Rast,unverified,
numo,Numo,PERSON,die Numo Iumo dũ ic,unverified,
iumo,Iumo,PERSON,Numo Iumo dũ ic xxx,unverified,
xxx,xxx,DATE,dũ ic xxx,,
thułi,thułi,PLACE,thułi und,unverified,
bat,Bat,ROLE,Bat du den,,
recht,Recht,ORG,stat Recht ist unib,,
