label,surface,type,context,confidence,uri
Aimien,Aimien,PERSON,Aimien undectetngen willegen ...,unverified,
Enaben,Enaben,PLACE,do warit muir roidet rnton Ica selt qi den enaben ...,unverified,
Thun,Thun,PLACE,cai thun in schillinas ...,high,
Schillinas,Schillinas,PLACE,cai thun in schillinas ...,unverified,
Raben,Rnaben,PLACE,warit reden uon des Rnabeñ noegen ...,unverified,
Baden,Baden,PLACE,glerri in den baden ...,unverified,
Ruaben,Ruaben,PLACE,den ruaben Ini ...,unverified,
Juden,Juden,SOCIAL_GROUP,Iuden uersegen ...,medium,
Rat,Rat,ORG,ꝓrats er er welt ...,,
Datum,Datũ,DATE,Datũ onno din ...,,
52,52,DATE,... die ne in allem riten 52,,
Rnecht,Rnecht,PERSON,ehi et ich mine Rnecht aii ...,high,
