label,surface,type,context,confidence,uri
Ar Lenpolt,Ar Lenpolt,PERSON,Ar Lenpolt ucon goes guadii Hc̃oq re Osteir̃ ze Steyr de Rerudñ und re beam Grasi ze Tyrel,unverified,
Steyr,Steyr,PLACE,... ze Steyr de Rerudñ ...,unverified,
Rerudn,Rerudn,ORG,... Steyr de Rerudñ ...,,
Tyrol,Tyrel,PLACE,... Grasi ze Tyrel ...,unverified,
Bender,Bender,PERSON,... Bender und uꝑen ...,high,
Horhgeborni,Horhgeborni,PERSON,... der Horhgeborni Iursce ...,unverified,
Botshaus,Botshaus,ORG,... dassebb Botshaus uor aller Sceror ...,,
Rungsueld,Rungsueld,ORG,... re beam Grasi ze Tyrel ... Rungsueld ...,,
Rotsdieust,Rotsdieust,PLACE,... Rotsdieust aber die erbñ ...,unverified,
Convent,Conuent,ORG,... die Rlbctissin und der Conuent ...,,
Oster,Osterẽ,PLACE,... hgog ze Osterẽ ie ...,unverified,
Burgmnaiscn,Burgmnaiscn,ORG,... Burgmnaiscn Schulcheissen Burgn ...,,
Schulcheissen,Schulcheissen,ORG,... Burgmnaiscn Schulcheissen Burgn ...,,
Burgn,Burgn,PLACE,... Schulcheissen Burgn und ...,unverified,
Schilling,Schilling,CARE_ACTION,... schilling dechs habler ...,,
Guardian,Gardianuud,ROLE,... Gardianuud Conuont ...,,
Conuont,Conuont,ORG,... Gardianuud Conuont ...,,
Bardian,Bardian,PERSON,... Bardiañ und conuont ...,unverified,
Schulaig,Schulaig,ORG,... schulaig ⁊rorden ...,,
