label,surface,type,context,confidence,uri
"Elizabeth, Queen",Fürstin Königin Elizabeth,PERSON,...der dù hochgeboen **Fürstin Königin Elizabeth** furstin Königin von Rome...,unverified,
Queen of Rome,Königin von Rom,PERSON,...furstin Königin von Rome das clost von erst hat angefangen...,unverified,
Closter (Monastery),Closter,ORG,"...Closter het zien gelich , die daß Closter ze Königl...",,
Lüppuesterb (Brugge),Lüppuesterb von Brugge,PLACE,...Der brief über Acker des Closters mit dem Ingeeligel des **Lüppuesterb von Brugge**...,unverified,
Rüdolffß von Stüllingen,Rüdolffß des Stüllingers,PERSON,...Ingeeligel **Rüdolffß des Stüllingers** des vogtes von baden brief...,unverified,
Vogt of Baden,Vogt von Baden,ROLE,...des **vogtes von baden** brief her Nicolaus...,medium,
Nicolaus von Urowenfelt,Nicolaus von Urowenfelt,PERSON,...brief her **Nicolaus von urowenfelt** kilch herre zewindelsch...,unverified,
Bischof of Kostenz,Bischof von Kostenz,ROLE,...kilchen zu brief mit **Bischof von kostentz** über die brief...,,
Capitel of Costencz,Capitel zu Costencz,ORG,...brief von dem **capitel ze Costencz** die kilchen zu brief...,,
Abt (abbot),Abt,ROLE,...**Der abtes** brief...,,
Herzog of Austria,Herzog von Österreich,ROLE,...Des **herzog von Osterich** en se chen ze botten...,,
Trutmann (title),Trutmann,PERSON,...brief mit des **trutmans** Ingesigel u̾ber über den zehenden...,unverified,
Seckungen,Seckungen,PLACE,...**Eptistin** und des capiteles Ingeeligel von ſett in gen über des **Trutmans**...,unverified,
Eptistin,Eptistin,PERSON,...**Eptistin** und des capiteles Ingeeligel...,unverified,
Schafhusen,Schafhusen,PLACE,...brief von **Schaffhusen** vmbe die an sprache...,unverified,
Johannes Milatône,Johannes Milatône,PERSON,...Nos **Johannes Milatône** dina . Abbat Louß Sonnenus...,unverified,
"Louß Sonnenus, Abbot",Abbat Louß Sonnenus,PERSON,...Abbat **Louß Sonnenus** von de Schahusa ...,unverified,
Constant (possibly Constantinus),Constant,PERSON,...ordinüb zuͤ Endē **Constant** docō ratione...,unverified,
Lentzburg (Gröffen),Gröffen Lentzburg,PLACE,"...cæs **in Gröffen spe Lentzburg** , die sonst...",unverified,
Gyriæ,Gyriæ,PLACE,...straff **püppes durch austrux et Gyriæ** connores...,unverified,
Hermann von Frat,Hermann von Frat,PERSON,"...**Hermann von frat Prob̄** autob , fiat . 6 .",unverified,
"Örnestus, Cantor of Frat",Cantor Frat Örnestus,PERSON,**Cantor frat Örneſtus** danns Vogt-Camais fürer .,unverified,
Vogt Camais,Vogt-Camais,ROLE,...**Vogt-Camais** fürer . Johes Kapellanus...,medium,
Johes Kapellanus,Johes Kapellanus,PERSON,"...**Johes Kapellanus** et alii Monach , dann von Schafusen...",unverified,
Dyessenhouen,Dyessenhouen,PLACE,...Johannes darauff **de Dyessenhouen** senior frid ?,unverified,
