label,surface,type,context,confidence,uri
Ottovillingen,Ottovillingen,PLACE,Ottovillingen dequibz,unverified,
Lenzburg,Lenzburg,PLACE,p e Lenzburg,unverified,
Schafhusen,Schafhusen,PLACE,Schafhusen vinbe,unverified,
Kyburg,Kyburg,PLACE,Comies mbabipurg a m kyburg,unverified,
Aar,Aar,PLACE,Cencu Aar,unverified,
Sekingen,Sekingen,PLACE,eptillen buef von Sekingen,unverified,
Küngsveld,Küngsveld,PLACE,Convent von Kūngsveld,unverified,
Ebschim,Ebschim,PLACE,Ebschim vn dem Conuent,unverified,
Archwatt,Archwatt,PLACE,Aarchwatt Trurman,unverified,
Trurman,Trurman,PLACE,Trurman burger,unverified,
Lutzeeren,Lutzeeren,PLACE,Lutzeeren vn von sinen,unverified,
Orwillingen,Orwillingen,PLACE,Orwillingen von Aarchwatt,unverified,
Tornichon,Tornichon,PLACE,Tornichon,unverified,
Johannes,Johannes,PERSON,Nos Iohannes misaone,high,
Torusz,Torusz,PERSON,Albas Torusz conuentus,unverified,
Conradus,Conradus,PERSON,Nos Conradus dimna,high,
Heinrich der Stammer,Heinrich der Stammer,PERSON,Heinrich der Stammer,medium,
Buchhart von Gartcn,Buchhart von Gartcn.,PERSON,Buchhart von Gartcn.,unverified,
Johans von sem- pach,Johans von sem- pach,PERSON,Johans von sem- pach,unverified,
Heinrich von Sewelsberg,Heinrich von Sewelsberg,PERSON,Heinrich von Sewelsberg,unverified,
Rudolf von aa,Rudolf von aa.,PERSON,Rudolf von aa.,high,
Ulrich von Eych,Ulrich von Eych,PERSON,Ulrich von Eych,unverified,
Vernher von Grepson,Vernher von Grepson.,PERSON,Vernher von Grepson.,unverified,
Jacob,Jacob,PERSON,frat Jacob culos,high,
Erneshus,Erneshus,PERSON,frat Erneshus,unverified,
Jokes,Jokes,PERSON,frater Jokes capellanus,unverified,
Walthero,Walthero,PERSON,Walthero decmo,unverified,
Lymg Elsberch von Pome,Lymg Elsberch von Pome,PERSON,Lymg Elsberch von Pome,unverified,
Frid a Egbrechius,Frid a Egbrechius,PERSON,Frid a Egbrechius,unverified,
Gischper,Gischper,PERSON,Fud. de Gischper,unverified,
Gieschln,Gieschln,PERSON,Campreh? de Gieschln,unverified,
Omes,Omes,PERSON,kouen Omes schafusen,unverified,
Pelpa,Pelpa,PERSON,Pelpa sigilla,unverified,
Arnoldus,Arnoldus,PERSON,Arnoldus,high,
Capellanus,Capellanus,ROLE,Jokes capellanus,,
Camerarius,Camerarius,ROLE,Camerario Anonateri,,
Convent,Convent,ORG,Convent von Kūngsveld,,
Conuent,Conuent,ORG,Conuentul majors,,
Capitel,Capitel,ORG,Datum in scassula in die Bii Edalrin,,
vago,vago,SOCIAL_GROUP,vago relatu,,
Almosen,Almosen,CARE_ACTION,"nicht explizit, aber im Kontext von Fürsorge erwähnt",medium,
Johannes,Johannes,CARE_ACTOR,Nos Iohannes misaone — möglicher Pflegebezug,,
AD,Anno domini,DATE,Anno dni.,,
6 AD,Anno dm. 6.,DATE,Anno dm. 6.,,
10 Iono,Decimo Iono,DATE,Decimo Iono,,
10th,die zehenden,DATE,die zehenden,,
10 days,Zehn Tage,DATE,vierzehen tagen,,
Trutmanz Brief,trutmanz brief,DOC,trutmanz brief über den zehenden,,
Vogt,Vogt,ROLE,"nicht explizit im Text, aber typische mittelalterliche Rolle",medium,
Schultheiss,Schultheiss,ROLE,schulten schafusen,medium,
Kingfuden,Kingfuden,PLACE,Kingsfueden adher,unverified,
